iter	Logloss
0	0.6583040014
1	0.6257649229
2	0.5967380941
3	0.5706788079
4	0.5480953782
5	0.5295559473
6	0.5117498554
7	0.4942601534
8	0.4796020897
9	0.463684083
10	0.4530977524
11	0.4415891911
12	0.4292262651
13	0.4184949304
14	0.4090856308
15	0.4000280992
16	0.3912760994
17	0.3859197083
18	0.3804812796
19	0.3764330212
20	0.370471998
21	0.3666723962
22	0.36211859
23	0.3577835719
24	0.3542321057
25	0.3508390412
26	0.3484878204
27	0.344593579
28	0.3415019197
29	0.3395641325
30	0.3380676881
31	0.3350675807
32	0.3335014931
33	0.3316439719
34	0.3291094781
35	0.3268398587
36	0.3247902877
37	0.3239362616
38	0.3232018096
39	0.3216730097
40	0.3199052312
41	0.3184552083
42	0.3170708074
43	0.3158112639
44	0.3143685143
45	0.3135592075
46	0.3125482154
47	0.3117842531
48	0.3112481485
49	0.3103958454
50	0.3093581777
51	0.3088267338
52	0.3083125701
53	0.3076112285
54	0.306869471
55	0.3059481897
56	0.3054397015
57	0.3050390375
58	0.3046591378
59	0.3039585952
60	0.3035730643
61	0.3030102027
62	0.3025178699
63	0.3021446243
64	0.3015053148
65	0.3008469375
66	0.3005964328
67	0.3000864519
68	0.2997199361
69	0.2994417707
70	0.2990945372
71	0.2986764987
72	0.2984215126
73	0.2981894235
74	0.2979983887
75	0.2976635626
76	0.2972997445
77	0.2970190948
78	0.2968848874
79	0.2965614322
80	0.2962827449
81	0.2960761462
82	0.2958364728
83	0.2955200641
84	0.2953456679
85	0.2950637699
86	0.2949028297
87	0.2946535001
88	0.2944209953
89	0.2942905536
90	0.2939787287
91	0.2937498961
92	0.293652369
93	0.2934328023
94	0.2933363955
95	0.2931542916
96	0.2929770292
97	0.2928883442
98	0.2927434566
99	0.2925634488
100	0.2925020663
101	0.292444718
102	0.2923472049
103	0.2922537689
104	0.2921741423
105	0.292045982
106	0.291974822
107	0.2918323224
108	0.291697127
109	0.2916022974
110	0.2914205936
111	0.291305132
112	0.2912281245
113	0.2911613099
114	0.291063347
115	0.2909647416
116	0.2907905506
117	0.2906098174
118	0.2904928772
119	0.2904336077
120	0.2902781267
121	0.2901531864
122	0.2900551647
123	0.2898975013
124	0.2898173045
125	0.2896871105
126	0.2895446285
127	0.2894587976
128	0.2894283977
129	0.2893819711
130	0.2893372796
131	0.289241163
132	0.2891416311
133	0.2890536932
134	0.2889123068
135	0.288840379
136	0.2887052542
137	0.2886076199
138	0.2885381712
139	0.2884800075
140	0.2884318386
141	0.2882870521
142	0.2881404467
143	0.2881264436
144	0.2880884674
145	0.2880469014
146	0.2880257012
147	0.2879857339
148	0.2879315045
149	0.2877544223
150	0.2876970596
151	0.2875967843
152	0.2875646331
153	0.2875099443
154	0.287444455
155	0.2874019158
156	0.2872717624
157	0.2871944392
158	0.2870784076
159	0.287006173
160	0.2869847092
161	0.2869284599
162	0.2868319529
163	0.2867562623
164	0.2866900673
165	0.2866415564
166	0.286510021
167	0.2864244314
168	0.2863648121
169	0.2863277872
170	0.286225322
171	0.2861609561
172	0.2860367386
173	0.2859868951
174	0.2859511432
175	0.2858600582
176	0.2857542864
177	0.2856892398
178	0.2856006893
179	0.2854761547
180	0.2853888457
181	0.2853294011
182	0.2851334042
183	0.2850960746
184	0.2850248682
185	0.2848489003
186	0.2848218388
187	0.28466973
188	0.2845740212
189	0.2844336993
190	0.2843594848
191	0.284281949
192	0.2841590278
193	0.2840759088
194	0.2839468494
195	0.2838956863
196	0.2838678734
197	0.2838213652
198	0.2837020055
199	0.2836421218
200	0.2835910108
201	0.2835538939
202	0.2834612102
203	0.2833890104
204	0.2832636592
205	0.2831993375
206	0.2830851463
207	0.2830650818
208	0.2830061784
209	0.2829713599
210	0.2829510376
211	0.2829300486
212	0.2829067536
213	0.2828413537
214	0.2828223972
215	0.282807085
216	0.282742743
217	0.282676311
218	0.2825946466
219	0.2824739189
220	0.2824167885
221	0.2823787536
222	0.2823438969
223	0.2822444576
224	0.2821381957
225	0.28208439
226	0.2820388356
227	0.2819248553
228	0.2818946792
229	0.2818389486
