iter	Passed	Remaining
407	5268	7644
408	5281	7631
409	5293	7617
410	5304	7602
411	5317	7589
412	5330	7576
413	5342	7562
414	5354	7548
415	5368	7536
416	5381	7523
417	5394	7511
418	5406	7497
419	5419	7483
420	5432	7470
421	5445	7458
422	5458	7445
423	5470	7432
424	5484	7420
425	5497	7407
426	5510	7394
427	5522	7380
428	5534	7367
429	5547	7354
430	5561	7341
431	5574	7329
432	5585	7314
433	5599	7302
434	5611	7288
435	5624	7275
436	5635	7260
437	5647	7246
438	5660	7234
439	5675	7223
440	5689	7211
441	5702	7198
442	5715	7186
443	5727	7172
444	5739	7158
445	5752	7145
446	5764	7131
447	5778	7119
448	5789	7105
449	5802	7092
450	5815	7078
451	5827	7065
452	5839	7050
453	5852	7037
454	5864	7024
455	5877	7012
456	5888	6997
457	5903	6986
458	5915	6972
459	5928	6959
460	5941	6946
461	5954	6933
462	5966	6919
463	5978	6906
464	5991	6893
465	6003	6879
466	6016	6867
467	6029	6854
468	6042	6841
469	6055	6828
470	6067	6814
471	6080	6801
472	6092	6787
473	6104	6774
474	6117	6761
475	6130	6748
476	6142	6735
477	6156	6722
478	6168	6708
479	6181	6696
480	6193	6682
481	6206	6670
482	6220	6657
483	6232	6644
484	6245	6632
485	6258	6618
486	6271	6606
487	6283	6592
488	6295	6578
489	6307	6565
490	6321	6552
491	6335	6541
492	6348	6528
493	6362	6516
494	6376	6505
495	6391	6494
496	6403	6481
497	6417	6468
498	6428	6454
499	6442	6442
500	6454	6429
501	6467	6416
502	6479	6402
503	6492	6389
504	6503	6374
505	6516	6361
506	6528	6348
507	6541	6335
508	6553	6321
509	6566	6308
510	6576	6293
511	6589	6280
512	6601	6267
513	6615	6254
514	6627	6241
515	6640	6228
516	6654	6216
517	6666	6203
518	6680	6191
519	6692	6177
520	6704	6164
521	6717	6151
522	6731	6139
523	6744	6126
524	6756	6113
525	6769	6099
526	6781	6086
527	6792	6072
528	6804	6058
529	6817	6045
530	6830	6032
531	6842	6019
532	6854	6005
533	6867	5993
534	6880	5980
535	6892	5966
536	6904	5953
537	6916	5939
538	6929	5926
539	6943	5914
540	6955	5900
541	6967	5887
542	6979	5874
543	6992	5861
